date,ticker,shares,price,type,commission
10/18/2017,MSFT,4,111.6725,buy,0.00
10/18/2017,TEAM,7,83.08,buy,0.00
12/19/2018,KO,10,48.732,buy,0.00
8/26/2019,SQ,10,62.9200,buy,4.95
2/24/2020,DKNG,12,16.44,buy,0.00
5/17/2021,TXN,3,182.2500,buy,0.00
9/9/2022,MSFT,0.0100,248.00,buy,0.00
10/3/2022,KO,0.078000,56.4103,buy,0.00
11/15/2022,TXN,0.021000,177.1429,buy,0.00
11/21/2022,CSCO,5,47.6400,buy,0.00
12/8/2022,MSFT,0.011000,248.1818,buy,0.00
12/15/2022,KO,0.069000,64.2029,buy,0.00
2/14/2023,TXN,0.021000,178.5714,buy,0.00
3/9/2023,MSFT,0.011000,248.1818,buy,0.00
4/3/2023,KO,0.076000,61.4474,buy,0.00
5/16/2023,TXN,0.02300,163.9130,buy,0.00
6/8/2023,MSFT,0.008000,342.5000,buy,0.00
7/3/2023,KO,0.078000,60.2564,buy,0.00
8/15/2023,TXN,0.023000,165.2174,buy,0.00
9/14/2023,MSFT,0.008000,343.7500,buy,0.00
10/2/2023,KO,0.085000,55.7647,buy,0.00
11/14/2023,TXN,0.028000,143.2143,buy,0.00
12/14/2023,MSFT,0.008000,380.0000,buy,0.00
12/15/2023,KO,0.080000,59.7500,buy,0.00
2/13/2024,TXN,0.025000,162.0000,buy,0.00
3/14/2024,MSFT,0.007000,434.2857,buy,0.00
