date,ticker,shares,price,type,comission
10/18/2017,TEAM,7,84.0757,buy,0.00
10/18/2017,MSFT,4,111.6725,buy,0.00
12/19/2018,KO,10,48.732,buy,0.00
8/26/2019,SQ,10,62.9200,buy,4.95
4/24/2020,DKNG,12,16.44,buy,0.00
5/17/2021,TXN,3,182.25,buy,0.00
9/9/2022,MSFT,0.01,248.00,buy,0.00
10/3/2022,KO,0.078,56.4103,buy,0.00
11/15/2022,TXN,0.021,177.14,buy,0.00
11/21/2022,CSCO,5,47.64,buy,0.00
12/8/2022,MSFT,0.011,248.1818,buy,0.00
12/15/2022,KO,0.069,64.2029,buy,0.00
2/14/2023,TXN,0.021,178.57,buy,0.00
3/9/2023,MSFT,0.011,248.1818,buy,0.00
4/3/2023,KO,0.076,61.4474,buy,0.00
5/16/2023,TXN,0.0230,163.9130,buy,0.00
6/8/2023,MSFT,0.0080,342.5000,buy,0.00
